x,y,z,peakV_mps,log_argmax_hits,is_blowup
516281.000,3760560.000,-19.779,18.6788,44,0
516141.000,3760660.000,-19.779,18.6612,62,0
539814.000,3753720.000,-100.880,18.6501,9,0
530714.000,3756660.000,-43.010,18.6444,71,0
516916.000,3760320.000,-96.861,18.6415,172,0
534779.000,3755700.000,-275.660,18.6275,58,0
522251.000,3765530.000,-4503.890,18.6215,8,0
524810.000,3757260.000,-78.627,18.5809,124,0
540360.000,3753490.000,-86.040,18.574,70,0
537138.000,3754750.000,-84.093,18.5656,95,0
537614.000,3754570.000,-97.008,18.5438,80,0
537969.000,3754430.000,-52.221,18.5321,170,0
531011.000,3756950.000,-335.446,18.4798,123,0
538609.000,3754250.000,-126.110,18.478,123,0
525778.000,3757220.000,-87.849,18.4708,67,0
540747.000,3753360.000,-112.026,18.4512,16,0
516616.000,3760480.000,-84.567,18.4088,112,0
516825.000,3760260.000,-40.071,18.3981,115,0
534663.000,3755510.000,-21.638,18.3935,66,0
526921.000,3756970.000,-38.162,18.294,158,0
538101.000,3754430.000,-111.502,18.2736,120,0
538723.000,3754170.000,-86.152,18.2698,39,0
524689.000,3757200.000,-37.376,18.2334,119,0
540281.000,3753540.000,-106.432,18.1772,37,0
545467.000,3751250.000,-33.572,18.1525,262,0
536714.000,3754880.000,-71.178,18.1153,13,0
522441.000,3765890.000,-5070.510,18.0386,142,0
526659.000,3757160.000,-132.247,17.9755,114,0
525413.000,3757410.000,-211.563,17.9516,90,0
514723.000,3762000.000,-16.794,17.9351,234,0
544021.000,3751890.000,-31.422,17.9315,209,0
542818.000,3752420.000,-27.014,17.9307,142,0
525533.000,3757350.000,-170.313,17.9197,102,0
546190.000,3750910.000,-35.874,17.9185,102,0
516725.000,3760450.000,-103.496,17.9088,85,0
526779.000,3757040.000,-69.449,17.8436,5,0
543509.000,3752170.000,-109.767,17.8228,130,0
526366.000,3757070.000,-53.892,17.8168,62,0
526685.000,3757080.000,-82.922,17.7931,51,0
523543.000,3757590.000,-107.018,17.7653,138,0
542377.000,3752640.000,-54.075,17.7524,102,0
524935.000,3757440.000,-202.379,17.7499,52,0
526782.000,3757200.000,-171.785,17.7384,6,0
526213.000,3757100.000,-53.892,17.7098,147,0
546107.000,3750970.000,-71.289,17.6776,121,0
541759.000,3752950.000,-100.136,17.6653,103,0
520529.000,3764590.000,-3171.780,17.6382,67,0
541761.000,3752900.000,-25.034,17.6145,97,0
524577.000,3757390.000,-149.504,17.5996,134,0
543405.000,3752190.000,-79.142,17.5869,153,0
526351.000,3757000.000,-13.473,17.5862,54,0
541680.000,3753000.000,-123.894,17.5328,37,0
543003.000,3752340.000,-27.014,17.5325,106,0
525407.000,3757170.000,-42.578,17.4894,28,0
524927.000,3757190.000,-41.251,17.4014,15,0
523535.000,3757360.000,-23.554,17.3861,140,0
543569.000,3752090.000,-30.624,17.3754,146,0
522678.000,3765900.000,-5069.700,17.3669,114,0
542453.000,3752590.000,-27.014,17.3586,84,0
523649.000,3757510.000,-94.215,17.3581,39,0
523855.000,3757330.000,-55.017,17.348,132,0
526172.000,3757170.000,-99.162,17.3294,97,0
530766.000,3756780.000,-168.199,17.3192,94,0
541063.000,3753170.000,-23.758,17.2781,143,0
522678.000,3765980.000,-5201.630,17.2627,111,0
514837.000,3761900.000,-36.122,17.2041,87,0
543058.000,3752370.000,-108.857,17.1994,116,0
526409.000,3757390.000,-256.045,17.1131,37,0
541915.000,3752850.000,-52.094,17.0896,53,0
543798.000,3751990.000,-30.624,17.0812,165,0
540052.000,3753580.000,-41.902,17.0492,7,0
543248.000,3752260.000,-79.142,17.0065,162,0
517027.000,3760210.000,-75.719,16.9559,56,0
526557.000,3756980.000,-13.473,16.9529,10,0
517121.000,3760260.000,-123.875,16.9511,76,0
523991.000,3757510.000,-149.405,16.9398,85,0
526032.000,3757340.000,-194.556,16.8905,87,0
523430.000,3757450.000,-36.356,16.8139,89,0
544454.000,3751700.000,-32.096,16.8046,173,0
525948.000,3757080.000,-13.473,16.7649,49,0
523002.000,3765750.000,-4754.860,16.7391,13,0
541450.000,3753040.000,-48.792,16.706,110,0
522973.000,3765810.000,-4864.390,16.6896,37,0
543920.000,3751950.000,-62.046,16.6262,102,0
525906.000,3757160.000,-58.744,16.6154,51,0
523741.000,3757290.000,-23.554,16.6094,69,0
516715.000,3760280.000,-21.142,16.6089,1,0
521051.000,3764520.000,-3040.720,16.6039,3,0
514568.000,3762220.000,-16.794,16.5752,177,0
517168.000,3760010.000,-18.930,16.5301,30,0
530797.000,3757280.000,-640.388,16.4337,108,0
523967.000,3757250.000,-31.463,16.4284,16,0
545962.000,3751020.000,-35.415,16.4214,62,0
544249.000,3751790.000,-31.422,16.3939,222,0
522896.000,3766140.000,-5437.690,16.3803,201,0
523762.000,3757540.000,-125.678,16.3205,12,0
520719.000,3759170.000,-23.803,16.2828,181,0
541528.000,3752990.000,-25.034,16.2786,41,0
546626.000,3750710.000,-34.863,16.25,173,0
514402.000,3762470.000,-41.986,16.1951,185,0
546876.000,3750600.000,-34.863,16.1868,176,0
545828.000,3751160.000,-175.233,16.1341,99,0
541503.000,3753120.000,-197.578,16.1185,54,0
540984.000,3753220.000,-46.387,16.073,44,0
520841.000,3759210.000,-52.589,16.03,123,0
514531.000,3762440.000,-89.322,16.0175,108,0
544805.000,3751540.000,-32.748,16.0168,206,0
545919.000,3751100.000,-141.661,15.9732,62,0
546535.000,3750770.000,-70.737,15.8903,8,0
541575.000,3753250.000,-409.835,15.8873,22,0
545208.000,3751360.000,-33.572,15.884,152,0
544993.000,3751520.000,-130.991,15.7204,109,0
544986.000,3751460.000,-32.748,15.6765,105,0
545443.000,3751320.000,-134.290,15.6681,56,0
523099.000,3757570.000,-12.803,15.645,133,0
523115.000,3757680.000,-51.210,15.6436,69,0
545713.000,3751130.000,-35.415,15.6055,163,0
544369.000,3751760.000,-63.518,15.5637,55,0
545124.000,3751420.000,-66.320,15.5237,90,0
544617.000,3751630.000,-32.096,15.5075,101,0
521118.000,3759060.000,-28.786,15.4899,177,0
513545.000,3767840.000,-2701.160,15.4656,5,0
521503.000,3759260.000,-181.693,15.4539,137,0
522935.000,3765940.000,-5100.550,15.4352,110,0
547254.000,3750490.000,-133.521,15.3057,156,0
545622.000,3751200.000,-68.988,15.1754,71,0
514167.000,3762760.000,-81.175,15.154,127,0
521664.000,3758510.000,-17.531,15.0552,227,0
544734.000,3751590.000,-64.844,15.0428,53,0
523083.000,3757790.000,-76.256,15.0349,124,0
521263.000,3759100.000,-67.013,14.9871,111,0
514222.000,3762630.000,-41.986,14.9854,133,0
