time,displacement,reaction_force,max_damage
0.00414,0.00414,189.42,0.0533031
0.00416,0.00416,190.318,0.0538478
0.00418,0.00418,191.217,0.0543957
0.0042,0.0042,192.115,0.0549469
0.00422,0.00422,193.013,0.0555014
0.00424,0.00424,193.91,0.0560591
0.00426,0.00426,194.808,0.0566202
0.00428,0.00428,195.705,0.0571845
0.0043,0.0043,196.601,0.0577522
0.00432,0.00432,197.498,0.0583232
0.00434,0.00434,198.394,0.0588975
0.00436,0.00436,199.29,0.0594752
0.00438,0.00438,200.186,0.0600563
0.0044,0.0044,201.082,0.0606408
0.00442,0.00442,201.977,0.0612286
0.00444,0.00444,202.872,0.0618198
0.00446,0.00446,203.767,0.0624145
0.00448,0.00448,204.662,0.0630126
0.0045,0.0045,205.556,0.0636141
0.00452,0.00452,206.45,0.0642191
0.00454,0.00454,207.343,0.0648276
0.00456,0.00456,208.237,0.0654396
0.00458,0.00458,209.13,0.066055
0.0046,0.0046,210.023,0.066674
0.00462,0.00462,210.916,0.0672965
0.00464,0.00464,211.808,0.0679226
0.00466,0.00466,212.7,0.0685522
0.00468,0.00468,213.592,0.0691854
0.0047,0.0047,214.483,0.0698222
0.00472,0.00472,215.375,0.0704626
0.00474,0.00474,216.266,0.0711066
0.00476,0.00476,217.156,0.0717543
0.00478,0.00478,218.047,0.0724056
0.0048,0.0048,218.937,0.0730606
0.00482,0.00482,219.827,0.0737192
0.00484,0.00484,220.716,0.0743816
0.00486,0.00486,221.606,0.0750477
0.00488,0.00488,222.495,0.0757175
0.0049,0.0049,223.383,0.0763911
0.00492,0.00492,224.272,0.0770684
0.00494,0.00494,225.16,0.0777496
0.00496,0.00496,226.048,0.0784345
0.00498,0.00498,226.935,0.0791233
0.005,0.005,227.822,0.0798159
0.00502,0.00502,228.709,0.0805123
0.00504,0.00504,229.596,0.0812127
0.00506,0.00506,230.482,0.0819169
0.00508,0.00508,231.368,0.0826251
0.0051,0.0051,232.254,0.0833372
0.00512,0.00512,233.139,0.0840532
0.00514,0.00514,234.024,0.0847733
0.00516,0.00516,234.909,0.0854973
0.00518,0.00518,235.793,0.0862254
0.0052,0.0052,236.678,0.0869574
0.00522,0.00522,237.561,0.0876936
0.00524,0.00524,238.445,0.0884338
0.00526,0.00526,239.328,0.0891781
0.00528,0.00528,240.211,0.0899266
0.0053,0.0053,241.093,0.0906792
0.00532,0.00532,241.976,0.091436
0.00534,0.00534,242.858,0.0921969
0.00536,0.00536,243.739,0.0929621
0.00538,0.00538,244.62,0.0937315
0.0054,0.0054,245.501,0.0945052
0.00542,0.00542,246.382,0.0952831
0.00544,0.00544,247.262,0.0960654
0.00546,0.00546,248.142,0.096852
0.00548,0.00548,249.022,0.0976429
0.0055,0.0055,249.901,0.0984383
0.00552,0.00552,250.78,0.099238
0.00554,0.00554,251.658,0.100042
0.00556,0.00556,252.537,0.100851
0.00558,0.00558,253.415,0.101664
0.0056,0.0056,254.292,0.102482
0.00562,0.00562,255.169,0.103304
0.00564,0.00564,256.046,0.104131
0.00566,0.00566,256.923,0.104962
0.00568,0.00568,257.799,0.105798
0.0057,0.0057,258.675,0.106639
0.00572,0.00572,259.55,0.107484
0.00574,0.00574,260.425,0.108334
0.00576,0.00576,261.3,0.109189
0.00578,0.00578,262.174,0.110048
0.0058,0.0058,263.048,0.110913
0.00582,0.00582,263.922,0.111782
0.00584,0.00584,264.795,0.112656
0.00586,0.00586,265.668,0.113535
0.00588,0.00588,266.541,0.114419
0.0059,0.0059,267.413,0.115308
0.00592,0.00592,268.285,0.116202
0.00594,0.00594,269.156,0.117101
0.00596,0.00596,270.027,0.118005
0.00598,0.00598,270.898,0.118914
0.006,0.006,271.768,0.119828
0.00602,0.00602,272.638,0.120748
0.00604,0.00604,273.507,0.121672
0.00606,0.00606,274.377,0.122602
0.00608,0.00608,275.245,0.123537
0.0061,0.0061,276.114,0.124478
0.00612,0.00612,276.982,0.125424
0.00614,0.00614,277.849,0.126375
0.00616,0.00616,278.717,0.127332
0.00618,0.00618,279.583,0.128295
0.0062,0.0062,280.45,0.129262
0.00622,0.00622,281.316,0.130236
0.00624,0.00624,282.181,0.131215
0.00626,0.00626,283.047,0.1322
0.00628,0.00628,283.911,0.13319
0.0063,0.0063,284.776,0.134186
0.00632,0.00632,285.64,0.135188
0.00634,0.00634,286.503,0.136196
0.00636,0.00636,287.366,0.13721
0.00638,0.00638,288.229,0.13823
0.0064,0.0064,289.091,0.139256
0.00642,0.00642,289.953,0.140287
0.00644,0.00644,290.815,0.141325
0.00646,0.00646,291.676,0.14237
0.00648,0.00648,292.537,0.14342
0.0065,0.0065,293.397,0.144476
0.00652,0.00652,294.257,0.145539
0.00654,0.00654,295.116,0.146609
0.00656,0.00656,295.975,0.147684
0.00658,0.00658,296.833,0.148766
0.0066,0.0066,297.691,0.149855
0.00662,0.00662,298.549,0.150951
0.00664,0.00664,299.406,0.152053
0.00666,0.00666,300.263,0.153162
0.00668,0.00668,301.119,0.154277
0.0067,0.0067,301.975,0.1554
0.00672,0.00672,302.83,0.156529
0.00674,0.00674,303.685,0.157665
0.00676,0.00676,304.539,0.158809
0.00678,0.00678,305.393,0.15996
0.0068,0.0068,306.247,0.161117
0.00682,0.00682,307.1,0.162283
0.00684,0.00684,307.952,0.163455
0.00686,0.00686,308.804,0.164635
0.00688,0.00688,309.656,0.165822
0.0069,0.0069,310.507,0.167017
0.00692,0.00692,311.358,0.16822
0.00694,0.00694,312.208,0.169431
0.00696,0.00696,313.058,0.170649
0.00698,0.00698,313.907,0.171875
0.007,0.007,314.756,0.173109
0.00702,0.00702,315.604,0.174352
0.00704,0.00704,316.452,0.175602
0.00706,0.00706,317.299,0.176861
0.00708,0.00708,318.146,0.178128
0.0071,0.0071,318.992,0.179404
0.00712,0.00712,319.838,0.180688
0.00714,0.00714,320.683,0.181981
0.00716,0.00716,321.527,0.183283
0.00718,0.00718,322.372,0.184594
0.0072,0.0072,323.215,0.185913
0.00722,0.00722,324.058,0.187242
0.00724,0.00724,324.901,0.18858
0.00726,0.00726,325.743,0.189927
0.00728,0.00728,326.585,0.191284
0.0073,0.0073,327.426,0.19265
0.00732,0.00732,328.266,0.194026
0.00734,0.00734,329.106,0.195412
0.00736,0.00736,329.945,0.196808
0.00738,0.00738,330.784,0.198214
0.0074,0.0074,331.622,0.19963
0.00742,0.00742,332.46,0.201056
0.00744,0.00744,333.297,0.202493
0.00746,0.00746,334.134,0.20394
0.00748,0.00748,334.97,0.205399
0.0075,0.0075,335.805,0.206868
0.00752,0.00752,336.64,0.208349
0.00754,0.00754,337.474,0.20984
0.00756,0.00756,338.308,0.211343
0.00758,0.00758,339.141,0.212858
0.0076,0.0076,339.973,0.214385
0.00762,0.00762,340.805,0.215923
0.00764,0.00764,341.636,0.217474
0.00766,0.00766,342.467,0.219037
0.00768,0.00768,343.297,0.220612
0.0077,0.0077,344.126,0.222201
0.00772,0.00772,344.955,0.223802
0.00774,0.00774,345.783,0.225416
0.00776,0.00776,346.611,0.227044
0.00778,0.00778,347.438,0.228685
0.0078,0.0078,348.264,0.23034
0.00782,0.00782,349.09,0.232009
0.00784,0.00784,349.914,0.233692
0.00786,0.00786,350.739,0.23539
0.00788,0.00788,351.562,0.237103
0.0079,0.0079,352.385,0.238831
0.00792,0.00792,353.207,0.240574
0.00794,0.00794,354.029,0.242333
0.00796,0.00796,354.85,0.244107
0.00798,0.00798,355.67,0.245898
0.008,0.008,356.489,0.247705
0.00802,0.00802,357.308,0.24953
0.00804,0.00804,358.126,0.251371
0.00806,0.00806,358.943,0.25323
0.00808,0.00808,359.759,0.255106
0.0081,0.0081,360.575,0.257001
0.00812,0.00812,361.39,0.258915
0.00814,0.00814,362.204,0.260847
0.00816,0.00816,363.018,0.262799
0.00818,0.00818,363.83,0.264771
0.0082,0.0082,364.642,0.266763
0.00822,0.00822,365.453,0.268776
0.00824,0.00824,366.263,0.27081
0.00826,0.00826,367.073,0.272865
0.00828,0.00828,367.881,0.274943
0.0083,0.0083,368.689,0.277043
0.00832,0.00832,369.496,0.279167
0.00834,0.00834,370.302,0.281314
0.00836,0.00836,371.107,0.283486
0.00838,0.00838,371.911,0.285683
0.0084,0.0084,372.714,0.287905
0.00842,0.00842,373.517,0.290153
0.00844,0.00844,374.318,0.292429
0.00846,0.00846,375.119,0.294732
0.00848,0.00848,375.918,0.297064
0.0085,0.0085,376.717,0.299425
0.00852,0.00852,377.514,0.301816
0.00854,0.00854,378.311,0.304238
0.00856,0.00856,379.106,0.306691
0.00858,0.00858,379.9,0.309178
0.0086,0.0086,380.694,0.311698
0.00862,0.00862,381.486,0.314253
0.00864,0.00864,382.277,0.316843
0.00866,0.00866,383.067,0.319471
0.00868,0.00868,383.856,0.322137
0.0087,0.0087,384.644,0.324843
0.00872,0.00872,385.43,0.327589
0.00874,0.00874,386.215,0.330377
0.00876,0.00876,386.999,0.333209
0.00878,0.00878,387.782,0.336087
0.0088,0.0088,388.563,0.339011
0.00882,0.00882,389.343,0.341984
0.00884,0.00884,390.121,0.345008
0.00886,0.00886,390.898,0.348084
0.00888,0.00888,391.674,0.351215
0.0089,0.0089,392.448,0.354403
0.00892,0.00892,393.22,0.35765
0.00894,0.00894,393.991,0.360959
0.00896,0.00896,394.76,0.364333
0.00898,0.00898,395.527,0.367775
0.009,0.009,396.293,0.371287
0.00902,0.00902,397.056,0.374873
0.00904,0.00904,397.818,0.378539
0.00906,0.00906,398.578,0.382289
0.00908,0.00908,399.335,0.386127
0.0091,0.0091,400.091,0.390059
0.00912,0.00912,400.843,0.394089
0.00914,0.00914,401.594,0.398224
0.00916,0.00916,402.342,0.402469
0.00918,0.00918,403.087,0.406831
0.0092,0.0092,403.829,0.411318
0.00922,0.00922,404.568,0.415938
0.00924,0.00924,405.304,0.420702
0.00926,0.00926,406.035,0.425635
0.00928,0.00928,406.715,0.432494
0.0093,0.0093,406.905,0.453483
0.00932,0.00932,407.433,0.464314
0.00934,0.00934,408.037,0.474002
0.00936,0.00936,408.73,0.480224
0.00938,0.00938,409.435,0.485666
0.0094,0.0094,410.143,0.49089
0.00942,0.00942,410.81,0.49777
0.00944,0.00944,411.452,0.505687
0.00946,0.00946,412.071,0.514317
0.00948,0.00948,412.677,0.523251
0.0095,0.0095,413.269,0.532258
0.00952,0.00952,413.869,0.540193
0.00954,0.00954,414.419,0.551001
0.00956,0.00956,414.926,0.562325
0.00958,0.00958,415.502,0.5692
0.0096,0.0096,416.198,0.571366
0.00962,0.00962,416.88,0.573396
0.00964,0.00964,416.861,0.60009
0.00966,0.00966,417.387,0.60009
0.00968,0.00968,418.22,0.60009
0.0097,0.0097,419.037,0.60009
0.00972,0.00972,419.846,0.60009
0.00974,0.00974,420.648,0.60009
0.00976,0.00976,421.448,0.60009
0.00978,0.00978,422.247,0.60009
0.0098,0.0098,423.045,0.60009
0.00982,0.00982,423.842,0.60009
0.00984,0.00984,424.639,0.60009
0.00986,0.00986,425.434,0.60009
0.00988,0.00988,426.229,0.60009
0.0099,0.0099,427.023,0.60009
0.00992,0.00992,427.817,0.60009
0.00994,0.00994,428.61,0.60009
0.00996,0.00996,429.403,0.60009
0.00998,0.00998,430.195,0.60009
0.01,0.01,430.987,0.60009
0.01002,0.01002,431.777,0.60009
0.01004,0.01004,432.567,0.60009
0.01006,0.01006,433.357,0.60009
0.01008,0.01008,434.146,0.60009
0.0101,0.0101,434.934,0.60009
0.01012,0.01012,435.722,0.60009
0.01014,0.01014,436.51,0.60009
0.01016,0.01016,437.296,0.60009
0.01018,0.01018,438.083,0.60009
0.0102,0.0102,438.869,0.60009
0.01022,0.01022,439.654,0.60009
0.01024,0.01024,440.439,0.60009
0.01026,0.01026,441.223,0.60009
0.01028,0.01028,442.007,0.60009
0.0103,0.0103,442.791,0.60009
0.01032,0.01032,443.574,0.60009
0.01034,0.01034,444.357,0.60009
0.01036,0.01036,445.139,0.60009
0.01038,0.01038,445.92,0.60009
0.0104,0.0104,446.701,0.60009
0.01042,0.01042,447.482,0.60009
0.01044,0.01044,448.262,0.60009
0.01046,0.01046,449.042,0.60009
0.01048,0.01048,449.821,0.60009
0.0105,0.0105,450.6,0.60009
0.01052,0.01052,451.379,0.60009
0.01054,0.01054,452.157,0.60009
0.01056,0.01056,452.935,0.60009
0.01058,0.01058,453.712,0.60009
0.0106,0.0106,454.489,0.60009
0.01062,0.01062,455.266,0.60009
0.01064,0.01064,456.042,0.60009
0.01066,0.01066,456.818,0.60009
0.01068,0.01068,457.593,0.60009
0.0107,0.0107,458.367,0.60009
0.01072,0.01072,459.142,0.60009
0.01074,0.01074,459.915,0.60009
0.01076,0.01076,460.689,0.60009
0.01078,0.01078,461.462,0.60009
0.0108,0.0108,462.234,0.60009
0.01082,0.01082,463.006,0.60009
0.01084,0.01084,463.777,0.60009
0.01086,0.01086,464.549,0.60009
0.01088,0.01088,465.319,0.60009
0.0109,0.0109,466.089,0.60009
0.01092,0.01092,466.859,0.60009
0.01094,0.01094,467.628,0.60009
0.01096,0.01096,468.398,0.60009
0.01098,0.01098,469.167,0.60009
0.011,0.011,469.936,0.60009
0.01102,0.01102,470.705,0.60009
0.01104,0.01104,471.473,0.60009
0.01106,0.01106,472.241,0.60009
0.01108,0.01108,473.009,0.60009
0.0111,0.0111,473.776,0.60009
0.01112,0.01112,474.543,0.60009
0.01114,0.01114,475.31,0.60009
0.01116,0.01116,476.076,0.60009
0.01118,0.01118,476.841,0.60009
0.0112,0.0112,477.607,0.60009
0.01122,0.01122,478.371,0.60009
0.01124,0.01124,479.136,0.60009
0.01126,0.01126,479.9,0.60009
